rowid,kepid,kepoi_name,kepler_name,koi_period,koi_ror,koi_srho,koi_prad,koi_sma,koi_teq,koi_insol,koi_dor,koi_count,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass
2558,5185897,K02693.03,Kepler-398 d,6.83440674,0.014584,0.69723,1.01,0.0618,636.0,38.68,11.99,3,4498.0,4.6610000000000005,-0.08,0.635,0.698
2560,9881077,K02751.01,Kepler-1337 b,24.4004378,0.033526,0.91763,2.47,0.1441,437.0,8.64,30.7,1,4583.0,4.606,-0.16,0.674,0.669
2563,6265792,K02753.01,Kepler-1338 b,0.9351158629999999,0.007379999999999999,1.7961099999999999,1.05,0.0193,2124.0,4811.82,4.362,1,5874.0,4.252,0.16,1.297,1.096
2564,9995402,K02832.01,Kepler-1361 b,3.57551429,0.008876,1.65693,0.89,0.0431,1061.0,299.19,10.38,1,5213.0,4.434,0.14,0.917,0.832
2568,11414465,K02836.01,Kepler-1363 b,2.94194296,0.014790000000000001,2.9921599999999997,1.22,0.0363,988.0,225.15,11.1,1,4901.0,4.544,-0.06,0.758,0.733
2572,10586004,K00275.02,Kepler-129 c,82.2001239,0.013819,0.60202,2.57,0.3988,525.0,17.96,59.91,2,5758.0,4.072,0.3,1.704,1.251
2573,4483138,K02910.01,Kepler-1384 b,15.3626052,0.019326,2.40021,1.8,0.1126,608.0,32.23,31.05,1,5011.0,4.484,0.2,0.851,0.806
2574,9475552,K02694.01,Kepler-1315 b,0.843379985,0.01815,1.05377,1.7,0.0163,1541.0,1329.99,3.41,2,4818.0,4.481,0.56,0.856,0.809
2576,8292840,K00260.01,Kepler-126 b,10.49566303,0.00948,0.82675,1.34,0.0958,1009.0,244.59,16.89,3,6214.0,4.238,-0.16,1.297,1.059
2580,10905911,K02754.01,Kepler-1339 b,1.34155642,0.006995,2.3733,0.74,0.0234,1642.0,1715.26,6.089,1,5779.0,4.44,-0.08,0.97,0.945
2582,6964929,K02756.01,Kepler-1340 b,0.665025941,0.009533,0.8510700000000001,1.11,0.0153,2174.0,5246.66,2.71,2,5884.0,4.408,0.16,1.07,1.07
2585,11565924,K02837.01,Kepler-1364 b,13.32191461,0.011585999999999999,0.12368,2.88,0.1284,1299.0,672.06,10.51,1,6995.0,3.925,-0.12,2.274,1.584
2586,6607357,K02838.01,Kepler-1365 b,7.69994466,0.007634999999999999,0.76505,0.92,0.075,969.0,208.61,13.38,2,5727.0,4.328,0.0,1.104,0.946
2587,6607357,K02838.02,Kepler-1365 c,4.77466043,0.006682,0.74965,0.81,0.0545,1137.0,395.06,9.667,2,5727.0,4.328,0.0,1.104,0.946
